2017-04-30 11:41:29.513484,inside temp #1,18.875
2017-04-30 11:41:32.572995,outside temp cold,15.75
2017-04-30 11:41:33.433398,inside temp #1,18.875
2017-04-30 11:41:36.495210,outside temp cold,15.81
2017-04-30 11:41:37.347758,inside temp #1,18.937
2017-04-30 11:41:40.405640,outside temp cold,15.75
2017-04-30 11:41:41.273516,inside temp #1,18.937
2017-04-30 11:41:44.326588,outside temp cold,15.75
2017-04-30 11:41:45.193291,inside temp #1,18.937
2017-04-30 11:41:48.254367,outside temp cold,15.75
2017-04-30 11:41:49.096599,inside temp #1,18.937
2017-04-30 11:41:52.158028,outside temp cold,15.75
2017-04-30 11:41:53.023267,inside temp #1,18.937
2017-04-30 11:41:56.085582,outside temp cold,15.75
2017-04-30 11:41:56.953468,inside temp #1,18.937
2017-04-30 11:42:00.015312,outside temp cold,15.75
2017-04-30 11:42:00.891489,inside temp #1,18.875
2017-04-30 11:42:04.171403,outside temp cold,15.75
2017-04-30 11:42:05.212486,inside temp #1,18.937
2017-04-30 11:42:08.249911,outside temp cold,15.75
2017-04-30 11:42:09.103039,inside temp #1,18.937
2017-04-30 11:42:12.152744,outside temp cold,15.75
2017-04-30 11:42:12.996945,inside temp #1,18.875
2017-04-30 11:42:16.055876,outside temp cold,15.75
2017-04-30 11:42:16.924469,inside temp #1,18.875
2017-04-30 11:42:19.994338,outside temp cold,15.75
2017-04-30 11:42:21.673524,inside temp #1,18.937
2017-04-30 11:42:24.731127,outside temp cold,15.75
2017-04-30 11:42:25.588741,inside temp #1,18.875
2017-04-30 11:42:28.627529,outside temp cold,15.75
2017-04-30 11:42:29.493975,inside temp #1,18.875
2017-04-30 11:42:32.562222,outside temp cold,15.75
2017-04-30 11:42:33.421686,inside temp #1,18.875
2017-04-30 11:42:36.481690,outside temp cold,15.75
2017-04-30 11:42:37.326930,inside temp #1,18.875
2017-04-30 11:42:41.193451,outside temp cold,15.75
2017-04-30 11:42:42.052959,inside temp #1,18.875
2017-04-30 11:42:45.115028,outside temp cold,15.75
2017-04-30 11:42:45.984557,inside temp #1,18.875
2017-04-30 11:42:49.045365,outside temp cold,15.75
2017-04-30 11:42:49.912979,inside temp #1,18.875
2017-04-30 11:42:52.974669,outside temp cold,15.75
2017-04-30 11:42:53.832012,inside temp #1,18.875
2017-04-30 11:42:56.894310,outside temp cold,15.75
2017-04-30 11:42:57.761002,inside temp #1,18.875
2017-04-30 11:43:00.823330,outside temp cold,15.75
2017-04-30 11:43:01.681683,inside temp #1,18.875
2017-04-30 11:43:04.751022,outside temp cold,15.75
2017-04-30 11:43:07.237488,inside temp #1,18.937
2017-04-30 11:43:10.314482,outside temp cold,15.75
2017-04-30 11:43:11.172386,inside temp #1,18.937
2017-04-30 11:43:14.220023,outside temp cold,15.75
2017-04-30 11:43:15.082659,inside temp #1,18.937
2017-04-30 11:43:18.125496,outside temp cold,15.75
2017-04-30 11:43:18.975846,inside temp #1,18.937
2017-04-30 11:43:22.025615,outside temp cold,15.75
2017-04-30 11:43:22.875349,inside temp #1,18.937
2017-04-30 11:43:25.923798,outside temp cold,15.75
2017-04-30 11:43:26.770568,inside temp #1,18.937
2017-04-30 11:43:29.833508,outside temp cold,15.75
2017-04-30 11:43:30.678144,inside temp #1,18.937
2017-04-30 11:43:33.724364,outside temp cold,15.75
2017-04-30 11:43:34.581919,inside temp #1,18.937
2017-04-30 11:43:37.632370,outside temp cold,15.75
2017-04-30 11:43:38.480067,inside temp #1,18.875
2017-04-30 11:43:41.547570,outside temp cold,15.75
2017-04-30 11:43:42.416010,inside temp #1,18.875
2017-04-30 11:43:45.459914,outside temp cold,15.75
2017-04-30 11:43:46.306089,inside temp #1,18.937
2017-04-30 11:43:49.362096,outside temp cold,15.75
2017-04-30 11:43:50.223270,inside temp #1,18.875
2017-04-30 11:43:53.298126,outside temp cold,15.75
2017-04-30 11:43:54.177151,inside temp #1,18.875
2017-04-30 11:43:57.227251,outside temp cold,15.69
2017-04-30 11:43:58.080214,inside temp #1,18.937
2017-04-30 11:44:01.127612,outside temp cold,15.69
2017-04-30 11:44:01.975545,inside temp #1,18.937
2017-04-30 11:44:05.036571,outside temp cold,15.75
2017-04-30 11:44:05.905767,inside temp #1,18.875
2017-04-30 11:44:08.969249,outside temp cold,15.69
2017-04-30 11:44:09.831574,inside temp #1,18.875
2017-04-30 11:44:12.890859,outside temp cold,15.69
2017-04-30 11:44:13.751662,inside temp #1,18.937
2017-04-30 11:44:16.814577,outside temp cold,15.69
2017-04-30 11:44:17.671591,inside temp #1,18.937
2017-04-30 11:44:20.732586,outside temp cold,15.69
2017-04-30 11:44:21.593289,inside temp #1,18.937
2017-04-30 11:44:24.653180,outside temp cold,15.63
2017-04-30 11:44:25.513812,inside temp #1,18.937
2017-04-30 11:44:28.573798,outside temp cold,15.63
2017-04-30 11:44:29.433208,inside temp #1,18.937
2017-04-30 11:44:32.493458,outside temp cold,15.63
2017-04-30 11:44:33.353666,inside temp #1,18.937
2017-04-30 11:44:36.414126,outside temp cold,15.63
2017-04-30 11:44:37.274493,inside temp #1,18.937
2017-04-30 11:44:40.334768,outside temp cold,15.69
2017-04-30 11:44:41.203265,inside temp #1,18.937
2017-04-30 11:44:44.265444,outside temp cold,15.69
2017-04-30 11:44:45.132656,inside temp #1,18.875
2017-04-30 11:44:48.172228,outside temp cold,15.69
2017-04-30 11:44:49.016643,inside temp #1,18.937
2017-04-30 11:44:52.076820,outside temp cold,15.69
2017-04-30 11:44:52.941608,inside temp #1,18.937
2017-04-30 11:44:56.002084,outside temp cold,15.69
2017-04-30 11:44:56.862936,inside temp #1,18.937
2017-04-30 11:44:59.931134,outside temp cold,15.69
2017-04-30 11:45:00.791605,inside temp #1,19.0
2017-04-30 11:45:03.850498,outside temp cold,15.69
2017-04-30 11:45:04.711127,inside temp #1,19.0
2017-04-30 11:45:07.770169,outside temp cold,15.69
2017-04-30 11:45:08.632984,inside temp #1,19.0
2017-04-30 11:45:11.691999,outside temp cold,15.69
2017-04-30 11:45:12.553102,inside temp #1,19.062
2017-04-30 11:45:15.612790,outside temp cold,15.69
2017-04-30 11:45:16.477497,inside temp #1,19.0
2017-04-30 11:45:19.532936,outside temp cold,15.69
2017-04-30 11:45:20.394642,inside temp #1,19.0
2017-04-30 11:45:23.453540,outside temp cold,15.69
2017-04-30 11:45:24.310371,inside temp #1,19.062
2017-04-30 11:45:27.370781,outside temp cold,15.69
2017-04-30 11:45:28.232605,inside temp #1,19.062
2017-04-30 11:45:31.296388,outside temp cold,15.69
2017-04-30 11:45:32.165310,inside temp #1,19.062
2017-04-30 11:45:35.220012,outside temp cold,15.69
2017-04-30 11:45:36.082131,inside temp #1,19.062
2017-04-30 11:45:39.145401,outside temp cold,15.75
2017-04-30 11:45:40.012540,inside temp #1,19.062
2017-04-30 11:45:43.072348,outside temp cold,15.75
2017-04-30 11:45:43.915899,inside temp #1,19.062
2017-04-30 11:45:46.980128,outside temp cold,15.75
2017-04-30 11:45:47.842928,inside temp #1,19.062
2017-04-30 11:45:50.902133,outside temp cold,15.75
2017-04-30 11:45:51.763144,inside temp #1,19.062
2017-04-30 11:45:54.822451,outside temp cold,15.75
2017-04-30 11:45:55.683214,inside temp #1,19.062
2017-04-30 11:45:58.742664,outside temp cold,15.75
2017-04-30 11:45:59.603848,inside temp #1,19.125
